episode,env_steps,weight_norm,srank,srank_max
53832,33177600,127.47457122802734,28,256
54126,33587200,128.12265014648438,25,256
54438,33996800,128.9174041748047,30,256
54716,34406400,129.6176300048828,26,256
54979,34816000,130.3498992919922,27,256
55235,35225600,131.04664611816406,23,256
55521,35635200,131.7777099609375,27,256
55796,36044800,132.50440979003906,28,256
56066,36454400,133.18505859375,20,256
56319,36864000,133.8840789794922,22,256
56579,37273600,134.6705322265625,30,256
56826,37683200,135.33831787109375,25,256
57131,38092800,136.03738403320312,27,256
57408,38502400,136.76065063476562,29,256
57647,38912000,137.30252075195312,30,256
57915,39321600,137.97991943359375,23,256
58209,39731200,138.80599975585938,27,256
58478,40140800,139.38052368164062,33,256
58756,40550400,140.09188842773438,24,256
59019,40960000,140.70126342773438,31,256
59297,41369600,141.2313232421875,34,256
59601,41779200,141.78768920898438,26,256
59850,42188800,142.37945556640625,36,256
60125,42598400,143.00152587890625,26,256
60370,43008000,143.526611328125,21,256
60617,43417600,144.1402587890625,27,256
60881,43827200,144.780517578125,26,256
61140,44236800,145.38665771484375,28,256
61383,44646400,145.8737335205078,33,256
61634,45056000,146.40658569335938,38,256
61960,45465600,147.0644989013672,26,256
62195,45875200,147.7104949951172,24,256
62477,46284800,148.22438049316406,35,256
62725,46694400,148.84527587890625,21,256
62963,47104000,149.43081665039062,25,256
63222,47513600,149.9676055908203,31,256
63478,47923200,150.5433807373047,23,256
63715,48332800,150.93679809570312,16,256
63976,48742400,151.46517944335938,30,256
64243,49152000,151.96591186523438,35,256
64477,49561600,152.44384765625,22,256
64736,49971200,152.93804931640625,28,256
64990,50380800,153.48251342773438,36,256
65229,50790400,153.9729766845703,26,256
65484,51200000,154.4317169189453,28,256
65730,51609600,154.9451446533203,21,256
65988,52019200,155.41397094726562,19,256
66209,52428800,155.8596954345703,28,256
66472,52838400,156.35801696777344,27,256
66711,53248000,156.84759521484375,25,256
66943,53657600,157.42201232910156,27,256
67165,54067200,157.74557495117188,31,256
67435,54476800,158.1709442138672,37,256
67679,54886400,158.64170837402344,31,256
67910,55296000,159.03475952148438,29,256
68198,55705600,159.61827087402344,22,256
68459,56115200,159.99444580078125,28,256
68693,56524800,160.32154846191406,24,256
68947,56934400,160.8097686767578,25,256
69185,57344000,161.31640625,25,256
69409,57753600,161.72361755371094,27,256
69657,58163200,162.13404846191406,26,256
69875,58572800,162.5411834716797,33,256
70109,58982400,163.0354766845703,32,256
70345,59392000,163.49765014648438,27,256
70554,59801600,163.82394409179688,26,256
70790,60211200,164.2274932861328,25,256
71021,60620800,164.60955810546875,23,256
71260,61030400,165.01336669921875,21,256
71489,61440000,165.29310607910156,30,256
71708,61849600,165.70936584472656,25,256
71929,62259200,165.9924774169922,25,256
72139,62668800,166.37989807128906,22,256
72388,63078400,166.74502563476562,20,256
72621,63488000,167.19781494140625,22,256
72846,63897600,167.50942993164062,25,256
73079,64307200,167.85690307617188,26,256
73314,64716800,168.1558380126953,29,256
73567,65126400,168.4492645263672,22,256
73801,65536000,168.78404235839844,26,256
74053,65945600,169.0797882080078,20,256
74290,66355200,169.43849182128906,32,256
74514,66764800,169.72630310058594,26,256
74739,67174400,170.05845642089844,24,256
74963,67584000,170.37442016601562,27,256
75170,67993600,170.6909942626953,25,256
75390,68403200,170.96466064453125,28,256
75607,68812800,171.29742431640625,21,256
75850,69222400,171.51150512695312,26,256
76081,69632000,171.84271240234375,21,256
76295,70041600,172.14590454101562,25,256
76510,70451200,172.3802032470703,26,256
76714,70860800,172.6256103515625,28,256
76961,71270400,172.83303833007812,29,256
77224,71680000,173.06385803222656,19,256
77444,72089600,173.3027801513672,24,256
77650,72499200,173.55931091308594,25,256
77883,72908800,173.8872833251953,29,256
78109,73318400,174.08108520507812,27,256
78316,73728000,174.34156799316406,24,256
78558,74137600,174.5673065185547,26,256
78758,74547200,174.87167358398438,26,256
78971,74956800,175.08706665039062,29,256
79205,75366400,175.3165740966797,26,256
79427,75776000,175.5648193359375,20,256
79669,76185600,175.76634216308594,27,256
79912,76595200,175.98936462402344,25,256
80139,77004800,176.22743225097656,26,256
80360,77414400,176.4045867919922,25,256
80572,77824000,176.6248321533203,23,256
80775,78233600,176.82054138183594,24,256
