gradient_step,loss
0,0.003468968439847231
35,0.0006837475812062621
70,0.06566626578569412
105,0.0006883727037347853
140,0.0013539263745769858
175,0.001432974124327302
210,0.0005212809192016721
245,0.0010974167380481958
280,0.0004741894663311541
315,0.0008056331425905228
350,0.03303251788020134
385,0.0003526960499584675
420,0.03003569506108761
455,0.0003054919943679124
490,0.02854837104678154
525,0.00024330131418537349
560,0.0003368508769199252
595,0.0003062507603317499
630,0.0003689524019137025
665,0.0005362899391911924
700,0.0002492914500180632
735,0.00015920167788863182
770,0.00027276042965240777
805,0.0004600993124768138
840,0.0003117474843747914
875,0.0694005936384201
910,0.0010949845891445875
945,0.036304932087659836
980,0.03465551882982254
1015,0.0005067673046141863
1050,0.0003713581245392561
1085,0.00025772611843422055
1120,0.0010212708730250597
1155,0.0010218566749244928
1190,0.0011493541533127427
1225,0.058771632611751556
1260,0.0013207505689933896
1295,0.0007631002808921039
1330,0.0004808135563507676
1365,0.0004137492214795202
1400,0.0007150241872295737
1435,0.0014496928779408336
1470,0.0411025807261467
1505,0.0018343128031119704
1540,0.0003725779242813587
1575,0.032012615352869034
1610,0.030901547521352768
1645,0.02911878377199173
1680,0.0010986654087901115
1715,0.0008613853133283556
1750,0.0013272211654111743
1785,0.0005423898692242801
1820,0.000691860681399703
1855,0.00042141045560128987
1890,0.0008977114921435714
1925,0.0004452312714420259
1960,0.0003081960021518171
1995,0.0009702531388029456
2030,0.0005669885431416333
2065,0.034346748143434525
2100,0.00025462976191192865
2135,0.0009749585296958685
2170,0.0007976770866662264
2205,0.03422244265675545
2240,0.0010738209821283817
2275,0.04032837226986885
2310,0.0005455565406009555
2345,0.0003953539708163589
2380,0.0007165049901232123
2415,0.001118055428378284
2450,0.000604533648584038
2485,0.0007283189333975315
2520,0.0004698131524492055
2555,0.0012588039971888065
2590,0.07445476949214935
2625,0.000446662976173684
2660,0.0011199302971363068
2695,0.0013428367674350739
2730,0.0007935750181786716
2765,0.0005267452215775847
2800,0.0005956547101959586
2835,0.0005155840190127492
2870,0.0010147267021238804
2905,0.001128314295783639
2940,0.001112622325308621
2975,0.0012669804273173213
3010,0.0014001657254993916
3045,0.000930104753933847
3080,0.0012579977046698332
3115,0.0006898317951709032
3150,0.04624630883336067
3185,0.052877455949783325
3220,0.026509711518883705
3255,0.0009342951234430075
3290,0.03894837945699692
3325,0.03615887835621834
3360,0.002129537984728813
3395,0.0009691694285720587
3430,0.0017003837274387479
3465,0.0004952887538820505
3500,0.03798694536089897
3535,0.0013575316406786442
3570,0.002162469085305929
3605,0.0005792094161733985
3640,0.0008346954127773643
3675,0.0022799870930612087
3710,0.0007590680615976453
3745,0.0021629848051816225
3780,0.0005380850052461028
3815,0.0004686811298597604
3850,0.0011052119079977274
3885,0.03797415643930435
3920,0.03865478187799454
3955,0.0003986255906056613
3990,0.002020870568230748
4025,0.02916770428419113
4060,0.001454032026231289
4095,0.001704013324342668
4130,0.0011095550144091249
4165,0.0015201288042590022
4200,0.0007871511043049395
4235,0.0009096430148929358
4270,0.0011102005373686552
4305,0.0025973436422646046
4340,0.001985694281756878
4375,0.0013588834553956985
4410,0.04225816950201988
4445,0.0012860583374276757
4480,0.0009845533641055226
4515,0.04206128045916557
4550,0.001281343400478363
4585,0.0007100520888343453
4620,0.0007373867556452751
4655,0.04622872173786163
4690,0.03992201387882233
4725,0.0012740353122353554
4760,0.03299795836210251
4795,0.04574466869235039
4830,0.04812479391694069
4865,0.0012946524657309055
4900,0.0018450184725224972
4935,0.03940495476126671
4970,0.0024110358208417892
5005,0.003654938656836748
5040,0.0025334074161946774
5075,0.048407182097435
5110,0.0010921622160822153
5145,0.0017087231390178204
5180,0.0010169695597141981
5215,0.0012263894313946366
5250,0.0037787093315273523
5285,0.0007333665853366256
