pygame-ce 2.5.7 (SDL 2.32.10, Python 3.14.6)
output: final_results\02_ddqn_vec_attention\DDQN_seed0_0806_175409
random baseline: mean=9.80+-1.28 max=21

[training setup]
model   : DDQN / AttentionQNetwork (269,321 trainable parameters)
arch    : 
            [agent encoder]     Linear(2->256) -> LayerNorm -> ReLU
            [ball encoder]      Linear(4->256) -> LayerNorm -> ReLU  (x,y,vx,vy; x,y는 agent 기준 상대좌표. 공 40개에 각각 동일하게 적용, 파라미터 공유)
            [+ sentinel]        학습되는 '공 없음' key/value 1개 추가 (항상 마스킹 안 함)
            [cross-attention]   Q=agent embed(1개) , K=V=ball embed(40개)+sentinel(1개) -> 4 head x 64dim -> softmax(QK^T/sqrt(d))·V (mask=0인 빈 슬롯은 attention에서 제외)
            [out_proj]          Linear(256->256)
            [combine]           agent embed + attention -> LayerNorm -> ReLU
            [head]              Linear(256->9)
run     : device=cuda, seed=0, episodes=3000
optim   : lr=0.0001, gamma=0.99, batch=32, buffer=100000, hidden=256, layer_norm=True, dueling_net=False, use_attention=True(4 heads, fusion=residual, position=relative), augmentation=False(spawn_safe), loss_fn=mse, max_grad_norm=10
update  : learning_starts=8000, train_every=4, target_every=1000
explore : epsilon=1->0.01, decay=0.0033
env     : type=vec, obs=(202,), actions=9, frame_stack=4, frame_skip=4, max_steps=10800
logging : log_every=20, eval_every=100, eval_episodes=20
artifact: best_agent.gif + best_agent_observation.gif, seed=20000, model_fps=15, decision_frames=True

  [eval] ep=700 mean=37.15+-4.71 median=29.0 max=86 P(>=120)=0.00 entropy=1.82/2.20 wnorm=27.819 srank=95/256
ep 720/3000 steps=182358 score20=26.70 eps=0.010 loss=0.00941 q=1.113 sps=317 elapsed=9.6m
ep 740/3000 steps=189902 score20=24.55 eps=0.010 loss=0.00835 q=1.114 sps=318 elapsed=9.9m
ep 760/3000 steps=197228 score20=23.90 eps=0.010 loss=0.00810 q=1.107 sps=317 elapsed=10.4m
ep 780/3000 steps=206589 score20=30.80 eps=0.010 loss=0.00844 q=1.074 sps=316 elapsed=10.9m
ep 800/3000 steps=213470 score20=22.55 eps=0.010 loss=0.00840 q=1.063 sps=315 elapsed=11.3m
  [eval] ep=800 mean=20.95+-3.21 median=16.0 max=57 P(>=120)=0.00 entropy=1.24/2.20 wnorm=28.604 srank=103/256
ep 820/3000 steps=221455 score20=26.15 eps=0.010 loss=0.00794 q=1.045 sps=310 elapsed=11.9m
ep 840/3000 steps=229678 score20=26.85 eps=0.010 loss=0.00725 q=1.037 sps=309 elapsed=12.4m
ep 860/3000 steps=240157 score20=34.50 eps=0.010 loss=0.00751 q=1.058 sps=307 elapsed=13.0m
ep 880/3000 steps=249570 score20=30.95 eps=0.010 loss=0.00812 q=1.098 sps=306 elapsed=13.6m
ep 900/3000 steps=258366 score20=28.80 eps=0.010 loss=0.00714 q=1.092 sps=306 elapsed=14.1m
  [eval] ep=900 mean=23.75+-4.48 median=21.5 max=85 P(>=120)=0.00 entropy=1.29/2.20 wnorm=29.396 srank=92/256
ep 920/3000 steps=265624 score20=23.70 eps=0.010 loss=0.00738 q=1.091 sps=302 elapsed=14.7m
ep 940/3000 steps=275672 score20=32.95 eps=0.010 loss=0.00732 q=1.098 sps=300 elapsed=15.3m
ep 960/3000 steps=282890 score20=23.55 eps=0.010 loss=0.00835 q=1.096 sps=300 elapsed=15.7m
ep 980/3000 steps=292405 score20=31.15 eps=0.010 loss=0.00642 q=1.061 sps=301 elapsed=16.2m
ep 1000/3000 steps=301738 score20=30.65 eps=0.010 loss=0.00761 q=1.070 sps=302 elapsed=16.6m
  [eval] ep=1000 mean=30.25+-3.03 median=27.0 max=61 P(>=120)=0.00 entropy=1.24/2.20 wnorm=30.130 srank=91/256
ep 1020/3000 steps=311115 score20=30.75 eps=0.010 loss=0.00713 q=1.072 sps=301 elapsed=17.2m
ep 1040/3000 steps=319224 score20=26.55 eps=0.010 loss=0.00684 q=1.097 sps=302 elapsed=17.6m
ep 1060/3000 steps=327902 score20=28.35 eps=0.010 loss=0.00754 q=1.137 sps=302 elapsed=18.1m
ep 1080/3000 steps=337735 score20=32.35 eps=0.010 loss=0.00768 q=1.141 sps=304 elapsed=18.5m
ep 1100/3000 steps=346801 score20=29.75 eps=0.010 loss=0.00652 q=1.124 sps=305 elapsed=18.9m
  [eval] ep=1100 mean=21.60+-2.09 median=19.5 max=38 P(>=120)=0.00 entropy=0.39/2.20 wnorm=30.883 srank=78/256
ep 1120/3000 steps=355407 score20=28.20 eps=0.010 loss=0.00711 q=1.124 sps=304 elapsed=19.5m
ep 1140/3000 steps=363820 score20=27.50 eps=0.010 loss=0.00768 q=1.117 sps=304 elapsed=19.9m
ep 1160/3000 steps=371532 score20=25.15 eps=0.010 loss=0.00658 q=1.106 sps=304 elapsed=20.3m
ep 1180/3000 steps=378996 score20=24.45 eps=0.010 loss=0.00789 q=1.082 sps=305 elapsed=20.7m
ep 1200/3000 steps=389030 score20=33.05 eps=0.010 loss=0.00615 q=1.106 sps=306 elapsed=21.2m
  [eval] ep=1200 mean=31.00+-2.62 median=29.0 max=57 P(>=120)=0.00 entropy=0.54/2.20 wnorm=31.486 srank=79/256
ep 1220/3000 steps=398415 score20=30.80 eps=0.010 loss=0.00684 q=1.117 sps=304 elapsed=21.8m
ep 1240/3000 steps=406985 score20=28.10 eps=0.010 loss=0.00744 q=1.117 sps=305 elapsed=22.3m
ep 1260/3000 steps=415660 score20=28.45 eps=0.010 loss=0.00847 q=1.125 sps=305 elapsed=22.7m
ep 1280/3000 steps=425692 score20=32.90 eps=0.010 loss=0.00718 q=1.136 sps=306 elapsed=23.2m
ep 1300/3000 steps=433953 score20=27.00 eps=0.010 loss=0.00696 q=1.138 sps=306 elapsed=23.6m
  [eval] ep=1300 mean=18.05+-1.58 median=18.0 max=37 P(>=120)=0.00 entropy=0.21/2.20 wnorm=32.039 srank=83/256
  [warn] 행동 엔트로피 < 0.3
ep 1320/3000 steps=443870 score20=32.55 eps=0.010 loss=0.00756 q=1.145 sps=304 elapsed=24.4m
ep 1340/3000 steps=454802 score20=35.95 eps=0.010 loss=0.00698 q=1.141 sps=304 elapsed=24.9m
ep 1360/3000 steps=462110 score20=23.90 eps=0.010 loss=0.00682 q=1.119 sps=304 elapsed=25.4m
ep 1380/3000 steps=471623 score20=31.15 eps=0.010 loss=0.00636 q=1.144 sps=303 elapsed=25.9m
ep 1400/3000 steps=482073 score20=34.25 eps=0.010 loss=0.00711 q=1.153 sps=302 elapsed=26.6m
  [eval] ep=1400 mean=44.50+-2.97 median=43.5 max=76 P(>=120)=0.00 entropy=1.69/2.20 wnorm=32.656 srank=83/256
ep 1420/3000 steps=490890 score20=28.80 eps=0.010 loss=0.00783 q=1.161 sps=301 elapsed=27.2m
ep 1440/3000 steps=499921 score20=29.55 eps=0.010 loss=0.00754 q=1.152 sps=301 elapsed=27.7m
ep 1460/3000 steps=508920 score20=29.45 eps=0.010 loss=0.00744 q=1.128 sps=301 elapsed=28.2m
ep 1480/3000 steps=519525 score20=34.80 eps=0.010 loss=0.00687 q=1.122 sps=302 elapsed=28.7m
ep 1500/3000 steps=528930 score20=30.80 eps=0.010 loss=0.00656 q=1.152 sps=302 elapsed=29.2m
  [eval] ep=1500 mean=30.15+-3.45 median=24.5 max=65 P(>=120)=0.00 entropy=0.73/2.20 wnorm=33.195 srank=85/256
ep 1520/3000 steps=539829 score20=35.80 eps=0.010 loss=0.00769 q=1.153 sps=300 elapsed=30.0m
ep 1540/3000 steps=550577 score20=35.40 eps=0.010 loss=0.00684 q=1.170 sps=299 elapsed=30.7m
ep 1560/3000 steps=558926 score20=27.40 eps=0.010 loss=0.00636 q=1.183 sps=298 elapsed=31.2m
ep 1580/3000 steps=568750 score20=32.20 eps=0.010 loss=0.00806 q=1.211 sps=298 elapsed=31.8m
ep 1600/3000 steps=580269 score20=37.95 eps=0.010 loss=0.00705 q=1.240 sps=298 elapsed=32.5m
  [eval] ep=1600 mean=40.85+-3.77 median=41.5 max=74 P(>=120)=0.00 entropy=1.41/2.20 wnorm=33.830 srank=85/256
ep 1620/3000 steps=590950 score20=35.15 eps=0.010 loss=0.00636 q=1.255 sps=297 elapsed=33.2m
ep 1640/3000 steps=599440 score20=27.80 eps=0.010 loss=0.00717 q=1.266 sps=297 elapsed=33.6m
ep 1660/3000 steps=609535 score20=33.15 eps=0.010 loss=0.00706 q=1.271 sps=298 elapsed=34.1m
ep 1680/3000 steps=619709 score20=33.40 eps=0.010 loss=0.00715 q=1.307 sps=298 elapsed=34.6m
ep 1700/3000 steps=629318 score20=31.55 eps=0.010 loss=0.00775 q=1.300 sps=299 elapsed=35.1m
  [eval] ep=1700 mean=49.35+-3.69 median=46.5 max=92 P(>=120)=0.00 entropy=0.99/2.20 wnorm=34.405 srank=74/256
ep 1720/3000 steps=636304 score20=22.85 eps=0.010 loss=0.00936 q=1.286 sps=297 elapsed=35.7m
ep 1740/3000 steps=646951 score20=35.00 eps=0.010 loss=0.00669 q=1.252 sps=297 elapsed=36.3m
ep 1760/3000 steps=657393 score20=34.25 eps=0.010 loss=0.00626 q=1.242 sps=298 elapsed=36.8m
ep 1780/3000 steps=666238 score20=29.00 eps=0.010 loss=0.00722 q=1.257 sps=298 elapsed=37.2m
ep 1800/3000 steps=674308 score20=26.50 eps=0.010 loss=0.00779 q=1.270 sps=299 elapsed=37.6m
  [eval] ep=1800 mean=34.00+-3.36 median=35.0 max=65 P(>=120)=0.00 entropy=1.65/2.20 wnorm=34.953 srank=76/256
ep 1820/3000 steps=685318 score20=36.15 eps=0.010 loss=0.00690 q=1.236 sps=297 elapsed=38.4m
ep 1840/3000 steps=696261 score20=35.90 eps=0.010 loss=0.00642 q=1.224 sps=298 elapsed=39.0m
ep 1860/3000 steps=707283 score20=36.25 eps=0.010 loss=0.00768 q=1.245 sps=298 elapsed=39.5m
