pygame-ce 2.5.7 (SDL 2.32.10, Python 3.14.6)
output: final_results\08_ddqn_img_cnn_aug_5000\DDQN_seed0_0806_211939
random baseline: mean=9.80+-1.28 max=21

[training setup]
model   : DDQN / NatureCNN (1,688,745 trainable parameters)
arch    : 
            [conv1]  Conv2d(4->32,k=8,s=4) -> ReLU
            [conv2]  Conv2d(32->64,k=4,s=2) -> ReLU
            [conv3]  Conv2d(64->64,k=3,s=1) -> ReLU
            [fc]     Flatten -> Linear(3136->512) -> ReLU
            [head]   Linear(512->9)
run     : device=cuda, seed=0, episodes=5000
optim   : lr=0.0001, gamma=0.99, batch=32, buffer=100000, hidden=512, layer_norm=False, dueling_net=False, use_attention=False(4 heads, fusion=residual, position=relative), augmentation=True(spawn_safe), loss_fn=mse, max_grad_norm=10
update  : learning_starts=8000, train_every=4, target_every=1000
explore : epsilon=1->0.01, decay=0.00198
env     : type=img, obs=(4, 84, 84), actions=9, frame_stack=4, frame_skip=4, max_steps=10800
logging : log_every=20, eval_every=100, eval_episodes=20
artifact: best_agent.gif + best_agent_observation.gif, seed=20000, model_fps=15, decision_frames=True

ep 760/5000 steps=106087 score20=9.70 eps=0.010 loss=0.01655 q=0.496 sps=420 elapsed=4.2m
ep 780/5000 steps=108765 score20=8.40 eps=0.010 loss=0.01332 q=0.527 sps=420 elapsed=4.3m
ep 800/5000 steps=112327 score20=11.30 eps=0.010 loss=0.01774 q=0.544 sps=420 elapsed=4.5m
  [eval] ep=800 mean=10.90+-1.45 median=10.5 max=25 P(>=120)=0.00 entropy=1.87/2.20 wnorm=25.082 srank=218/512
ep 820/5000 steps=114558 score20=6.90 eps=0.010 loss=0.01658 q=0.542 sps=415 elapsed=4.6m
ep 840/5000 steps=118057 score20=11.15 eps=0.010 loss=0.01640 q=0.575 sps=414 elapsed=4.7m
ep 860/5000 steps=120635 score20=8.15 eps=0.010 loss=0.01869 q=0.594 sps=414 elapsed=4.9m
ep 880/5000 steps=123384 score20=8.65 eps=0.010 loss=0.01885 q=0.630 sps=414 elapsed=5.0m
ep 900/5000 steps=126101 score20=8.60 eps=0.010 loss=0.02241 q=0.653 sps=414 elapsed=5.1m
  [eval] ep=900 mean=8.10+-1.07 median=7.0 max=17 P(>=120)=0.00 entropy=1.84/2.20 wnorm=26.272 srank=215/512
ep 920/5000 steps=127949 score20=5.55 eps=0.010 loss=0.01980 q=0.637 sps=411 elapsed=5.2m
ep 940/5000 steps=131130 score20=10.15 eps=0.010 loss=0.01636 q=0.609 sps=409 elapsed=5.3m
ep 960/5000 steps=133657 score20=8.00 eps=0.010 loss=0.01969 q=0.573 sps=409 elapsed=5.5m
ep 980/5000 steps=136268 score20=8.25 eps=0.010 loss=0.01547 q=0.542 sps=409 elapsed=5.6m
ep 1000/5000 steps=139527 score20=10.25 eps=0.010 loss=0.01573 q=0.535 sps=408 elapsed=5.7m
  [eval] ep=1000 mean=11.50+-1.82 median=9.0 max=33 P(>=120)=0.00 entropy=1.55/2.20 wnorm=26.990 srank=219/512
ep 1020/5000 steps=143095 score20=11.40 eps=0.010 loss=0.01758 q=0.549 sps=404 elapsed=5.9m
ep 1040/5000 steps=145329 score20=6.85 eps=0.010 loss=0.01856 q=0.592 sps=404 elapsed=6.0m
ep 1060/5000 steps=148469 score20=10.05 eps=0.010 loss=0.01763 q=0.589 sps=403 elapsed=6.1m
ep 1080/5000 steps=150971 score20=7.80 eps=0.010 loss=0.01941 q=0.573 sps=402 elapsed=6.3m
ep 1100/5000 steps=153943 score20=9.45 eps=0.010 loss=0.01531 q=0.498 sps=401 elapsed=6.4m
