gradient_step,loss
0,0.0357544980943203
10,0.0007077454938553274
20,0.0001597950467839837
30,0.0005664110649377108
40,0.00010849061072804034
50,5.1958486437797546e-05
60,6.124454375822097e-05
70,0.0006130269030109048
80,0.0012195168528705835
90,0.0015004777815192938
100,0.0005347428959794343
110,0.00013268066686578095
120,0.0003521837934385985
130,0.0005494490615092218
140,1.736419289954938e-05
150,3.381725400686264e-05
160,4.016188540845178e-05
170,0.0009675389155745506
180,8.429112494923174e-05
190,0.00012172706192359328
200,0.03043830208480358
210,0.02995133399963379
220,0.0019251784542575479
230,0.03201541304588318
240,0.0009352914057672024
250,0.030853087082505226
260,0.00031565557583235204
270,0.00010991233284585178
280,0.00018666940741240978
290,0.00016638287343084812
300,0.00011115882080048323
310,7.274049130501226e-05
320,8.208899816963822e-05
330,0.00010646516602719203
340,2.5590223231120035e-05
350,0.03227809816598892
360,0.00025962432846426964
370,0.03209174796938896
380,5.7475161156617105e-05
390,4.553206235868856e-05
400,0.00014230856322683394
410,9.476279956288636e-05
420,0.03244573250412941
430,0.00021082570310682058
440,0.00014977077080402523
450,7.338891737163067e-05
460,2.2825708583695814e-05
470,7.256046228576452e-05
480,0.00010854830907192081
490,0.00013200157263781875
500,0.0006676024058833718
510,0.00042259966721758246
520,0.00012036917178193107
530,0.03249760717153549
540,6.790124461986125e-05
550,0.00021598883904516697
560,0.0001413456629961729
570,5.345333192963153e-05
580,9.76714272837853e-06
590,3.2268006179947406e-05
600,3.475466655800119e-05
610,0.0002090422494802624
620,0.00017784308874979615
630,0.0001429191615898162
640,8.322201028931886e-05
650,5.980399146210402e-05
660,5.731072451453656e-05
670,0.00027087487978860736
680,6.769996252842247e-05
690,0.00048432504991069436
700,0.0002155748661607504
710,0.00033072871156036854
720,0.0004054385353811085
730,0.0005841170204803348
740,0.00032756305881775916
750,0.00043162208748981357
760,0.00018774447380565107
770,0.0006182678043842316
780,0.0008279322646558285
790,0.0001279880671063438
800,0.00024631121777929366
810,0.000288349692709744
820,0.00018996564904227853
830,0.03215756639838219
840,0.0003008421044796705
850,0.00014454018673859537
860,0.033637285232543945
870,0.00011565502791199833
880,0.00011182781599927694
890,0.00010203468991676345
900,0.00020606502948794514
910,0.0002808489080052823
920,0.00018830048793461174
930,8.873593469616026e-05
940,0.00036719185300171375
950,0.00021332877804525197
960,7.661758718313649e-05
970,0.03411884978413582
980,7.372041000053287e-05
990,0.0002032910124398768
1000,0.0330611951649189
1010,0.00023017506464384496
1020,0.0001717041595838964
1030,7.139846275094897e-05
1040,9.149873221758753e-05
1050,0.0006419922574423254
1060,0.00045966802281327546
1070,0.0004071841249242425
1080,0.00032394894515164196
1090,5.74996265640948e-05
1100,0.00015177133900579065
1110,0.0002754612942226231
1120,0.032869257032871246
1130,0.00019199647067580372
1140,0.033848706632852554
1150,0.034508682787418365
1160,0.0002578070852905512
1170,0.033291131258010864
1180,0.03278589993715286
1190,0.00036953185917809606
1200,0.0005324165686033666
1210,0.00013622887490782887
1220,7.568391447421163e-05
1230,0.00018982104666065425
1240,0.00010097712220158428
1250,0.0002473109634593129
1260,0.034764163196086884
1270,2.6836522010853514e-05
1280,2.592385862953961e-05
1290,8.183797763194889e-05
1300,0.00026944998535327613
1310,0.034558553248643875
1320,0.00013442170165944844
1330,0.00019672777852974832
1340,0.035196200013160706
1350,0.0001915774482768029
1360,0.00016002397751435637
1370,0.00013104658864904195
