episode,env_steps,weight_norm,srank,srank_max
100,15080,15.210512161254883,94,512
200,30069,16.23197364807129,154,512
300,43692,17.815309524536133,196,512
400,55673,19.03261375427246,194,512
500,69886,20.64576530456543,202,512
600,83436,22.096527099609375,212,512
700,97454,23.437969207763672,213,512
800,112327,25.081748962402344,218,512
900,126101,26.272197723388672,215,512
1000,139527,26.99034309387207,219,512
1100,153943,27.964582443237305,222,512
1200,168601,29.025104522705078,228,512
1300,182746,30.247222900390625,227,512
1400,198271,31.281076431274414,229,512
1500,212470,32.03668975830078,226,512
1600,227868,33.08994674682617,225,512
1700,242947,34.18353271484375,231,512
1800,258877,35.24043273925781,232,512
1900,274649,36.35295867919922,233,512
2000,291876,37.46738052368164,229,512
2100,308888,38.61945724487305,232,512
2200,324861,39.86940383911133,230,512
2300,341469,40.95649337768555,229,512
2400,357271,41.86638259887695,229,512
2500,373959,42.67390060424805,230,512
2600,391198,43.57317352294922,232,512
2700,409087,44.414520263671875,233,512
2800,426899,45.5545654296875,236,512
2900,444727,46.4786262512207,238,512
3000,463778,47.70964050292969,236,512
3100,481397,48.97775650024414,237,512
3200,498679,50.159461975097656,239,512
3300,516649,51.37453842163086,237,512
3400,533902,52.64126205444336,235,512
3500,552417,54.02253723144531,237,512
3600,568737,55.02725601196289,239,512
3700,586158,56.16515350341797,237,512
3800,601962,57.19535827636719,237,512
3900,620366,58.36313247680664,238,512
4000,638788,59.66853332519531,239,512
4100,658588,60.771392822265625,243,512
4200,678730,61.91967010498047,241,512
4300,695862,62.85756301879883,243,512
4400,713371,63.855255126953125,246,512
4500,731155,64.79682159423828,248,512
4600,749605,65.84099578857422,248,512
4700,768405,66.90081787109375,249,512
4800,786166,67.89673614501953,250,512
4900,804783,68.7350845336914,249,512
5000,822458,69.62310028076172,251,512
