episode,decision_steps,physics_steps,score,ep_return,epsilon,mean_loss,mean_q
36,62,246,4,-0.3899999999999997,0.9214336,1.2929457342252135,0.30532328283879906
37,11,42,0,-0.9,0.917632,0.2084034875733778,0.9775911616161466
38,67,266,4,-0.33999999999999964,0.9150976,0.2084034875733778,0.9775911616161466
39,68,269,4,-0.3299999999999996,0.9138304,0.2084034875733778,0.9775911616161466
40,70,280,4,-0.3099999999999996,0.911296,0.2084034875733778,0.9775911616161466
41,62,245,4,-0.3899999999999997,0.9087616000000001,0.2084034875733778,0.9775911616161466
42,75,300,5,-0.25999999999999956,0.90496,0.2084034875733778,0.9775911616161466
43,76,304,5,-0.24999999999999956,0.9036928,0.2084034875733778,0.9775911616161466
44,78,309,5,-0.22999999999999954,0.9011584,0.2084034875733778,0.9775911616161466
45,79,314,5,-0.21999999999999953,0.8998912,0.2084034875733778,0.9775911616161466
46,81,323,5,-0.1999999999999995,0.8973568,0.2084034875733778,0.9775911616161466
47,68,269,4,-0.3299999999999996,0.8973568,0.2084034875733778,0.9775911616161466
48,31,121,2,-0.7,0.8935552,0.2084034875733778,0.9775911616161466
49,84,333,5,-0.16999999999999948,0.8935552,0.2084034875733778,0.9775911616161466
50,85,338,5,-0.15999999999999948,0.892288,0.2084034875733778,0.9775911616161466
51,86,342,5,-0.14999999999999947,0.8910208,0.2084034875733778,0.9775911616161466
52,87,346,5,-0.13999999999999946,0.8897536,0.2084034875733778,0.9775911616161466
53,90,360,6,-0.10999999999999943,0.885952,0.2084034875733778,0.9775911616161466
54,56,221,3,-0.44999999999999973,0.8821504,0.2084034875733778,0.9775911616161466
55,94,374,6,-0.0699999999999994,0.8808832,0.2084034875733778,0.9775911616161466
56,95,378,6,-0.05999999999999939,0.879616,0.2084034875733778,0.9775911616161466
57,95,377,6,-0.05999999999999939,0.879616,0.2084034875733778,0.9775911616161466
58,96,384,6,-0.04999999999999938,0.8783488,0.2084034875733778,0.9775911616161466
59,11,41,0,-0.9,0.8770816,0.06492405475000851,1.3081639409065247
60,97,385,6,-0.03999999999999937,0.8770816,0.06492405475000851,1.3081639409065247
61,97,385,6,-0.03999999999999937,0.8770816,0.06492405475000851,1.3081639409065247
62,97,388,6,-0.03999999999999937,0.8770816,0.06492405475000851,1.3081639409065247
63,71,282,4,-0.2999999999999996,0.8745472,0.06492405475000851,1.3081639409065247
64,25,98,1,-0.7599999999999999,0.8732800000000001,0.06492405475000851,1.3081639409065247
65,101,404,6,6.661338147750939e-16,0.8720128,0.06492405475000851,1.3081639409065247
66,101,401,6,6.661338147750939e-16,0.8720128,0.06492405475000851,1.3081639409065247
67,104,414,6,0.030000000000000693,0.8682112,0.06492405475000851,1.3081639409065247
68,81,323,5,-0.1999999999999995,0.8682112,0.06492405475000851,1.3081639409065247
69,104,415,6,0.030000000000000693,0.8682112,0.06492405475000851,1.3081639409065247
70,105,417,6,0.0400000000000007,0.8669439999999999,0.06492405475000851,1.3081639409065247
71,105,419,6,0.0400000000000007,0.8669439999999999,0.06492405475000851,1.3081639409065247
72,105,420,7,0.0400000000000007,0.8669439999999999,0.06492405475000851,1.3081639409065247
73,106,422,7,0.05000000000000071,0.8656768,0.06492405475000851,1.3081639409065247
74,107,426,7,0.06000000000000072,0.8644096,0.06492405475000851,1.3081639409065247
75,108,432,7,0.07000000000000073,0.8631424,0.06492405475000851,1.3081639409065247
76,108,432,7,0.07000000000000073,0.8631424,0.06492405475000851,1.3081639409065247
77,109,436,7,0.08000000000000074,0.8618752000000001,0.06492405475000851,1.3081639409065247
78,109,435,7,0.08000000000000074,0.8618752000000001,0.06492405475000851,1.3081639409065247
79,56,224,3,-0.44999999999999973,0.860608,0.06492405475000851,1.3081639409065247
80,112,445,7,0.11000000000000076,0.8580736,0.06492405475000851,1.3081639409065247
81,113,452,7,0.12000000000000077,0.8568064,0.06492405475000851,1.3081639409065247
82,113,452,7,0.12000000000000077,0.8568064,0.06492405475000851,1.3081639409065247
83,113,451,7,0.12000000000000077,0.8568064,0.06492405475000851,1.3081639409065247
84,8,30,0,-0.9299999999999999,0.8568064,0.06492405475000851,1.3081639409065247
85,113,450,7,0.12000000000000077,0.8568064,0.06492405475000851,1.3081639409065247
86,114,456,7,0.13000000000000078,0.8555391999999999,0.06492405475000851,1.3081639409065247
87,104,413,6,0.030000000000000693,0.8530048,0.06492405475000851,1.3081639409065247
88,117,467,7,0.1600000000000008,0.8517376,0.06492405475000851,1.3081639409065247
89,118,469,7,0.17000000000000082,0.8504704,0.06492405475000851,1.3081639409065247
90,46,183,3,-0.5499999999999998,0.8504704,0.06492405475000851,1.3081639409065247
91,118,471,7,0.17000000000000082,0.8504704,0.06492405475000851,1.3081639409065247
92,92,365,6,-0.08999999999999941,0.8492032,0.06492405475000851,1.3081639409065247
93,63,251,4,-0.37999999999999967,0.8492032,0.06492405475000851,1.3081639409065247
94,121,483,8,0.20000000000000084,0.8466688,0.06492405475000851,1.3081639409065247
95,123,491,8,0.22000000000000086,0.8441344,0.06492405475000851,1.3081639409065247
