episode,decision_steps,physics_steps,score,ep_return,epsilon,mean_loss,mean_q
1,10,38,0,-0.91,0.987328,,
2,12,46,0,-0.89,0.9847936,,
3,13,51,0,-0.88,0.9835264,,
4,13,49,0,-0.88,0.9835264,,
5,13,52,0,-0.88,0.9835264,,
6,17,67,1,-0.84,0.9784576,,
7,21,82,1,-0.7999999999999999,0.9733887999999999,,
8,22,87,1,-0.7899999999999999,0.9721216,,
9,22,85,1,-0.7899999999999999,0.9721216,,
10,22,85,1,-0.7899999999999999,0.9721216,,
11,23,92,1,-0.7799999999999999,0.9708544,,
12,25,100,1,-0.7599999999999999,0.96832,,
13,27,108,1,-0.74,0.9657856,,
14,28,109,1,-0.73,0.9645184,,
15,28,109,1,-0.73,0.9645184,,
16,29,115,1,-0.72,0.9632512,,
17,34,135,2,-0.6699999999999999,0.9569152,0.322253155085491,0.5815157096367329
18,34,136,2,-0.6699999999999999,0.9569152,0.322253155085491,0.5815157096367329
19,36,144,2,-0.6499999999999999,0.9543808,0.322253155085491,0.5815157096367329
20,39,156,2,-0.6199999999999999,0.9505792,0.322253155085491,0.5815157096367329
21,41,163,2,-0.5999999999999999,0.9480448,0.322253155085491,0.5815157096367329
22,43,169,2,-0.5799999999999998,0.9455104,0.322253155085491,0.5815157096367329
23,48,191,3,-0.5299999999999998,0.9391744,0.322253155085491,0.5815157096367329
24,51,203,3,-0.4999999999999998,0.9353728,0.322253155085491,0.5815157096367329
25,51,204,3,-0.4999999999999998,0.9353728,0.322253155085491,0.5815157096367329
26,53,210,3,-0.47999999999999976,0.9328384,0.322253155085491,0.5815157096367329
27,53,211,3,-0.47999999999999976,0.9328384,0.322253155085491,0.5815157096367329
28,55,220,3,-0.45999999999999974,0.930304,0.322253155085491,0.5815157096367329
29,55,217,3,-0.45999999999999974,0.930304,0.322253155085491,0.5815157096367329
30,57,225,3,-0.4399999999999997,0.9277696,0.322253155085491,0.5815157096367329
31,57,228,3,-0.4399999999999997,0.9277696,0.322253155085491,0.5815157096367329
32,58,229,3,-0.4299999999999997,0.9265024,0.322253155085491,0.5815157096367329
33,51,204,3,-0.4999999999999998,0.9188992,0.322253155085491,0.5815157096367329
34,64,255,4,-0.36999999999999966,0.9188992,0.322253155085491,0.5815157096367329
